
CommandType     Name                                               Version    So
Cmdlet          Remove-Pfa2DirectorySnapshot                       2.24.70    P…
Cmdlet          Remove-Pfa2Dns                                     2.24.70    P…
Cmdlet          Remove-Pfa2FileSystem                              2.24.70    P…
Cmdlet          Remove-Pfa2Host                                    2.24.70    P…
Cmdlet          Remove-Pfa2HostGroup                               2.24.70    P…
Cmdlet          Remove-Pfa2HostGroupHost                           2.24.70    P…
Cmdlet          Remove-Pfa2HostGroupProtectionGroup                2.24.70    P…
Cmdlet          Remove-Pfa2HostHostGroup                           2.24.70    P…
Cmdlet          Remove-Pfa2HostProtectionGroup                     2.24.70    P…
Cmdlet          Remove-Pfa2Kmip                                    2.24.70    P…
Cmdlet          Remove-Pfa2MaintenanceWindow                       2.24.70    P…
Cmdlet          Remove-Pfa2NetworkInterface                        2.24.70    P…
Cmdlet          Remove-Pfa2Offload                                 2.24.70    P…
Cmdlet          Remove-Pfa2Pod                                     2.24.70    P…
Cmdlet          Remove-Pfa2PodArray                                2.24.70    P…
Cmdlet          Remove-Pfa2PodReplicaLink                          2.24.70    P…
Cmdlet          Remove-Pfa2PolicyAutodir                           2.24.70    P…
Cmdlet          Remove-Pfa2PolicyAutodirMember                     2.24.70    P…
Cmdlet          Remove-Pfa2PolicyNfs                               2.24.70    P…
Cmdlet          Remove-Pfa2PolicyNfsClientRule                     2.24.70    P…
Cmdlet          Remove-Pfa2PolicyNfsMember                         2.24.70    P…
Cmdlet          Remove-Pfa2PolicyQuota                             2.24.70    P…
Cmdlet          Remove-Pfa2PolicyQuotaMember                       2.24.70    P…
Cmdlet          Remove-Pfa2PolicyQuotaRule                         2.24.70    P…
Cmdlet          Remove-Pfa2PolicySmb                               2.24.70    P…
Cmdlet          Remove-Pfa2PolicySmbClientRule                     2.24.70    P…
Cmdlet          Remove-Pfa2PolicySmbMember                         2.24.70    P…
Cmdlet          Remove-Pfa2PolicySnapshot                          2.24.70    P…
Cmdlet          Remove-Pfa2PolicySnapshotMember                    2.24.70    P…
Cmdlet          Remove-Pfa2PolicySnapshotRule                      2.24.70    P…
Cmdlet          Remove-Pfa2ProtectionGroup                         2.24.70    P…
Cmdlet          Remove-Pfa2ProtectionGroupHost                     2.24.70    P…
Cmdlet          Remove-Pfa2ProtectionGroupHostGroup                2.24.70    P…
Cmdlet          Remove-Pfa2ProtectionGroupSnapshot                 2.24.70    P…
Cmdlet          Remove-Pfa2ProtectionGroupTarget                   2.24.70    P…
Cmdlet          Remove-Pfa2ProtectionGroupVolume                   2.24.70    P…
Cmdlet          Remove-Pfa2RemoteProtectionGroup                   2.24.70    P…
Cmdlet          Remove-Pfa2RemoteProtectionGroupSnapshot           2.24.70    P…
Cmdlet          Remove-Pfa2RemoteVolumeSnapshot                    2.24.70    P…
Cmdlet          Remove-Pfa2SnmpManager                             2.24.70    P…
Cmdlet          Remove-Pfa2Software                                2.24.70    P…
Cmdlet          Remove-Pfa2SoftwareCheck                           2.24.70    P…
Cmdlet          Remove-Pfa2SsoSaml2                                2.24.70    P…
Cmdlet          Remove-Pfa2Subnet                                  2.24.70    P…
Cmdlet          Remove-Pfa2SyslogServer                            2.24.70    P…
Cmdlet          Remove-Pfa2Volume                                  2.24.70    P…
Cmdlet          Remove-Pfa2VolumeGroup                             2.24.70    P…
Cmdlet          Remove-Pfa2VolumeProtectionGroup                   2.24.70    P…
Cmdlet          Remove-Pfa2VolumeSnapshot                          2.24.70    P…
Cmdlet          Remove-Pfa2VolumeSnapshotTags                      2.24.70    P…
Cmdlet          Remove-Pfa2VolumeTag                               2.24.70    P…
Cmdlet          Set-Pfa2AdminCache                                 2.24.70    P…
Cmdlet          Set-Pfa2ArrayCloudProviderTagBatch                 2.24.70    P…
Cmdlet          Set-Pfa2Logging                                    2.24.70    P…
Cmdlet          Set-Pfa2VolumeSnapshotTagsBatch                    2.24.70    P…
Cmdlet          Set-Pfa2VolumeTagBatch                             2.24.70    P…
Cmdlet          Update-Pfa2ActiveDirectory                         2.24.70    P…
Cmdlet          Update-Pfa2Admin                                   2.24.70    P…
Cmdlet          Update-Pfa2AdminSetting                            2.24.70    P…
Cmdlet          Update-Pfa2Alert                                   2.24.70    P…
Cmdlet          Update-Pfa2AlertRule                               2.24.70    P…
Cmdlet          Update-Pfa2AlertWatcher                            2.24.70    P…
Cmdlet          Update-Pfa2ApiClient                               2.24.70    P…
Cmdlet          Update-Pfa2App                                     2.24.70    P…
Cmdlet          Update-Pfa2Array                                   2.24.70    P…
Cmdlet          Update-Pfa2ArrayConnection                         2.24.70    P…
Cmdlet          Update-Pfa2ArrayEula                               2.24.70    P…
Cmdlet          Update-Pfa2Certificate                             2.24.70    P…
Cmdlet          Update-Pfa2ContainerDefaultProtection              2.24.70    P…
Cmdlet          Update-Pfa2Directory                               2.24.70    P…
Cmdlet          Update-Pfa2DirectoryService                        2.24.70    P…
Cmdlet          Update-Pfa2DirectoryServiceLocalGroup              2.24.70    P…
Cmdlet          Update-Pfa2DirectoryServiceLocalUser               2.24.70    P…
Cmdlet          Update-Pfa2DirectoryServiceRole                    2.24.70    P…
Cmdlet          Update-Pfa2DirectorySnapshot                       2.24.70    P…
Cmdlet          Update-Pfa2Dns                                     2.24.70    P…
Cmdlet          Update-Pfa2Drive                                   2.24.70    P…
Cmdlet          Update-Pfa2FileSystem                              2.24.70    P…
Cmdlet          Update-Pfa2Hardware                                2.24.70    P…
Cmdlet          Update-Pfa2Host                                    2.24.70    P…
Cmdlet          Update-Pfa2HostGroup                               2.24.70    P…
Cmdlet          Update-Pfa2Kmip                                    2.24.70    P…
Cmdlet          Update-Pfa2NetworkInterface                        2.24.70    P…
Cmdlet          Update-Pfa2Pod                                     2.24.70    P…
Cmdlet          Update-Pfa2PodReplicaLink                          2.24.70    P…
Cmdlet          Update-Pfa2PolicyAutodir                           2.24.70    P…
Cmdlet          Update-Pfa2PolicyNfs                               2.24.70    P…
Cmdlet          Update-Pfa2PolicyQuota                             2.24.70    P…
Cmdlet          Update-Pfa2PolicyQuotaRule                         2.24.70    P…
Cmdlet          Update-Pfa2PolicySmb                               2.24.70    P…
Cmdlet          Update-Pfa2PolicySnapshot                          2.24.70    P…
Cmdlet          Update-Pfa2ProtectionGroup                         2.24.70    P…
Cmdlet          Update-Pfa2ProtectionGroupSnapshot                 2.24.70    P…
Cmdlet          Update-Pfa2ProtectionGroupTarget                   2.24.70    P…
Cmdlet          Update-Pfa2RemoteProtectionGroup                   2.24.70    P…
Cmdlet          Update-Pfa2RemoteProtectionGroupSnapshot           2.24.70    P…
Cmdlet          Update-Pfa2RemoteVolumeSnapshot                    2.24.70    P…
Cmdlet          Update-Pfa2SmiS                                    2.24.70    P…
Cmdlet          Update-Pfa2SmtpServer                              2.24.70    P…
Cmdlet          Update-Pfa2SnmpAgent                               2.24.70    P…
Cmdlet          Update-Pfa2SnmpManager                             2.24.70    P…
Cmdlet          Update-Pfa2SoftwareInstallation                    2.24.70    P…
Cmdlet          Update-Pfa2SsoSaml2                                2.24.70    P…
Cmdlet          Update-Pfa2SsoSaml2Test                            2.24.70    P…
Cmdlet          Update-Pfa2Subnet                                  2.24.70    P…
Cmdlet          Update-Pfa2Support                                 2.24.70    P…
Cmdlet          Update-Pfa2SyslogServer                            2.24.70    P…
Cmdlet          Update-Pfa2SyslogServerSetting                     2.24.70    P…
Cmdlet          Update-Pfa2VirtualMachine                          2.24.70    P…
Cmdlet          Update-Pfa2Volume                                  2.24.70    P…
Cmdlet          Update-Pfa2VolumeGroup                             2.24.70    P…
Cmdlet          Update-Pfa2VolumeSnapshot                          2.24.70    P…

